X (м),Y (м),Z (м),t (с),Dist (м),V (м/с),Mach,Drop (м),Windage (м),Energy (Дж)
0.00,0.00,0.00,0.00,0.00,500.00,1.47,0.00,0.00,1250.00
292.11,1.94,74.53,1.00,292.12,243.68,0.72,74.53,1.94,296.91
499.98,4.74,119.21,2.00,500.00,191.51,0.56,119.21,4.74,183.38
669.68,7.92,146.94,3.00,669.73,157.83,0.46,146.94,7.92,124.56
812.74,11.38,161.36,4.00,812.82,133.51,0.39,161.36,11.38,89.12
935.71,15.04,164.63,5.00,935.83,115.38,0.34,164.63,15.04,66.56
1042.99,18.86,158.22,6.00,1043.16,101.78,0.30,158.22,18.86,51.79
1137.64,22.81,143.16,7.00,1137.87,91.68,0.27,143.16,22.81,42.02
1221.90,26.87,120.25,8.00,1222.19,84.38,0.25,120.25,26.87,35.60
1297.41,31.01,90.09,9.00,1297.78,79.38,0.23,90.09,31.01,31.51
1365.40,35.23,53.20,10.00,1365.86,76.24,0.22,53.20,35.23,29.06
1426.82,39.52,10.04,11.00,1427.37,74.61,0.22,10.04,39.52,27.83
